SID,age,sex,prof,stud,MSI1,MSI2,MSI3,MSI4,MSI5,MSI6,MSI7,MSI8,MSI9,MSI10,MSI11,MSI12,MSI13,MSI14,MSI15,MSI16,MSI17,MSI18,OP1,OP2,OP3,OP4,OP5,OP6,OP7,OP8,OP9,OP10,gold,exp
1,24,1,1,6,6,2,5,6,5,6,6,6,6,6,5,6,5,2,5,4,3,1,4,3,6,7,3,4,6,5,2,4,85,1
2,21,2,1,6,1,1,2,6,3,6,3,7,2,5,2,7,1,2,4,7,7,7,4,3,5,4,1,1,1,2,2,1,73,1
3,32,1,1,6,1,5,7,4,7,7,7,7,7,7,7,7,7,6,6,6,6,1,7,3,7,1,2,1,1,1,2,6,105,1
4,21,2,1,6,6,2,5,7,6,6,7,6,3,6,6,5,5,4,5,4,1,1,4,6,6,2,2,1,1,2,5,2,85,1
5,22,1,1,6,3,1,2,5,2,3,4,2,1,3,5,2,1,2,1,4,1,2,1,1,2,6,1,1,2,1,6,3,44,1
6,20,1,1,6,7,4,1,5,1,3,5,7,2,3,5,3,2,3,7,5,1,3,5,1,5,7,2,1,3,1,5,3,67,1
7,23,1,1,6,4,1,4,5,3,2,2,2,5,3,5,5,3,1,4,7,7,7,3,5,6,2,2,1,1,1,5,2,70,1
8,29,1,1,6,4,1,3,4,3,4,6,3,2,5,2,5,7,5,3,5,3,3,5,4,7,2,1,1,4,4,2,1,68,1
9,29,2,1,6,5,2,2,6,6,6,6,5,6,6,6,2,3,2,6,7,7,1,4,5,6,6,2,2,2,3,6,6,84,1
10,19,1,1,6,7,1,2,7,5,6,7,7,5,5,6,6,5,2,6,5,3,2,2,1,1,4,4,3,3,1,5,1,87,1
11,26,1,1,1,7,4,6,6,6,5,6,7,6,5,3,6,5,4,7,3,4,1,2,2,5,3,1,1,3,1,2,2,91,1
12,22,2,1,6,1,6,1,4,2,3,7,6,4,3,5,6,5,1,5,4,3,2,3,3,3,4,1,2,2,1,3,4,68,1
13,22,1,1,1,5,2,2,4,4,5,6,5,2,6,6,5,2,2,5,5,3,3,3,2,4,4,2,2,2,4,2,3,72,1
14,25,1,1,6,4,1,3,6,4,5,4,4,6,3,5,6,6,4,6,4,2,2,3,1,4,5,1,1,4,3,2,2,75,1
15,27,1,1,6,3,2,1,2,1,5,1,3,1,5,6,3,1,1,1,7,7,7,3,3,2,2,1,1,1,1,5,2,57,1
16,25,2,1,6,7,1,6,5,6,7,7,7,5,7,6,7,5,2,7,4,2,2,3,2,5,1,2,1,1,2,3,2,93,1
17,28,2,1,6,7,1,1,5,3,7,1,7,7,6,7,7,7,1,4,7,7,7,5,5,7,5,4,1,4,5,1,4,92,1
18,25,2,1,6,2,1,2,3,1,3,5,3,1,4,2,4,2,1,5,7,7,7,4,7,7,1,1,1,2,2,7,4,60,1
19,22,1,1,6,1,1,2,7,6,1,1,3,4,5,2,1,1,1,5,2,1,1,1,2,7,4,1,1,3,1,3,4,45,1
20,22,1,1,6,7,1,3,7,3,5,2,5,2,3,4,7,3,2,4,2,4,1,1,3,5,7,2,1,3,1,4,4,65,1
21,25,1,1,6,2,2,3,6,5,4,5,3,3,2,5,3,6,2,3,7,7,7,2,4,5,4,1,2,2,1,3,3,75,1
22,22,1,1,6,6,2,4,5,4,6,6,6,7,6,5,7,3,4,7,1,4,1,4,5,5,6,3,4,5,2,2,1,84,1
23,19,1,1,6,4,7,6,3,7,5,7,6,2,5,7,7,6,1,5,7,7,7,5,2,4,4,2,2,2,2,3,2,99,1
24,20,1,1,6,7,1,4,5,5,5,6,7,5,4,3,6,2,1,4,5,5,2,1,1,1,2,2,1,3,1,5,4,77,1
25,23,1,1,1,6,7,4,5,7,6,7,5,5,1,6,4,3,2,6,2,3,3,6,5,7,5,2,3,3,3,3,1,82,1
26,28,1,1,6,6,6,3,6,6,6,5,5,6,4,6,6,2,1,5,7,7,7,2,1,2,7,1,1,6,1,3,3,94,1
27,25,1,1,1,6,4,2,7,1,5,2,7,6,6,6,7,7,4,7,1,4,1,4,4,6,6,1,1,2,1,5,4,83,1
28,21,1,1,6,6,2,5,6,6,4,2,6,4,4,7,5,3,2,7,2,2,1,3,4,5,7,1,1,4,1,2,4,74,1
29,25,1,1,6,1,4,5,6,7,6,6,4,5,6,7,6,5,2,6,7,7,7,4,2,5,5,2,1,2,1,2,3,97,1
30,28,1,1,6,2,3,2,6,4,6,3, , , , , , , , , , , ,2,3,6,6,1,1,3,2,6,6, ,1
31,23,1,1,6,1,4,3,5,3,6,3,2,3,5,5,7,6,2,5,4,1,2,2,6,7,3,1,2,1,5,4,3,67,1
32,23,1,1,6,5,1,2,5,5,4,5,3,2,4,5,5,6,5,5,4,2,2,1,2,3,2,5,1,4,1,6,5,70,1
